   tau1     tau2   tau3   tau4  tau5   tau6   t1
-2.094874999999996046e+00  -3.486249999999913030e-01  5.071250000000110392e-01  8.576250000000007478e-01  -8.867499999999985949e-01  -2.176249999999990692e-01  7.099143028259277344e+00
-2.634499999999997844e+00  1.376250000000023288e-01  -2.150000000000068523e-01  -1.103750000000000453e+00  -8.118750000000035660e-01  -1.374999999997905675e-03  7.156111955642700195e+00
-8.612499999999800870e-01  7.579999999999947891e-01  -9.571250000000031122e-01  -1.159374999999997158e+00  -7.891249999999877529e-01  -3.552499999999944591e-01  7.222568035125732422e+00
-1.211500000000004240e+00  7.966249999999952536e-01  -5.886249999999954019e-01  -2.096249999999980074e-01  -1.343999999999997863e+00  -3.410000000000010245e-01  7.286006927490234375e+00
-7.521249999999923830e-01  9.465000000000028946e-01  -6.747500000000017373e-01  -3.224999999999964007e-01  -6.907500000000038609e-01  -2.264999999999905977e-01  7.343364953994750977e+00
1.346249999999993285e-01  1.036750000000002947e+00  -8.758749999999981828e-01  -7.706250000000004485e-01  3.478750000000113696e-01  -7.949999999999624034e-02  7.391653060913085938e+00
2.418750000000025047e-01  8.867500000000055893e-01  -7.635000000000002895e-01  -7.763749999999992601e-01  1.152125000000003840e+00  -1.338750000000055174e-01  7.444519996643066406e+00
6.593750000000175859e-01  8.184999999999997833e-01  -7.631249999999895062e-01  -8.020000000000006013e-01  1.730499999999995930e+00  -2.483749999999951275e-01  7.491293907165527344e+00
1.074500000000006006e+00  8.488749999999989360e-01  -9.178749999999985532e-01  -8.479999999999997540e-01  1.791749999999994625e+00  -7.450000000000511768e-02  7.544475078582763672e+00
1.592750000000003885e+00  8.374999999999979128e-01  -8.025000000000045430e-01  -5.811250000000000027e-01  1.665624999999997025e+00  1.280000000000031113e-01  7.603641033172607422e+00
1.590999999999995085e+00  8.161250000000008775e-01  -8.198749999999976890e-01  -7.127499999999999947e-01  1.362500000000002487e+00  3.306250000000010569e-01  7.661771059036254883e+00
