tif_tot   t1   iter_no
9.895520992387669690e-01  2.267962098121643066e+01  3.330000000000000000e+02
9.726804287697117246e-01  2.271936202049255371e+01  3.340000000000000000e+02
9.580840206364120704e-01  2.275492501258850098e+01  3.350000000000000000e+02
9.408838745447654084e-01  2.279655504226684570e+01  3.360000000000000000e+02
9.242236997076004323e-01  2.283856606483459473e+01  3.370000000000000000e+02
9.166845307134336984e-01  2.288073110580444336e+01  3.380000000000000000e+02
8.804588656006010483e-01  2.298833203315734863e+01  3.390000000000000000e+02
8.513520526723260540e-01  2.304870200157165527e+01  3.400000000000000000e+02
8.302039029788094160e-01  2.308416604995727539e+01  3.410000000000000000e+02
8.122784151930386720e-01  2.312878894805908203e+01  3.420000000000000000e+02
7.950219943045711002e-01  2.316636800765991211e+01  3.430000000000000000e+02
7.777208548094558527e-01  2.320708012580871582e+01  3.440000000000000000e+02
7.605681058734796718e-01  2.324965000152587891e+01  3.450000000000000000e+02
7.424258041939895136e-01  2.329208612442016602e+01  3.460000000000000000e+02
7.252442712613602627e-01  2.333453893661499023e+01  3.470000000000000000e+02
7.092543465095682009e-01  2.337406206130981445e+01  3.480000000000000000e+02
6.938068795441814096e-01  2.341532897949218750e+01  3.490000000000000000e+02
6.783400147252796053e-01  2.345439100265502930e+01  3.500000000000000000e+02
6.620982701943658455e-01  2.349778604507446289e+01  3.510000000000000000e+02
6.420841637066565522e-01  2.354774713516235352e+01  3.520000000000000000e+02
6.214031630846746923e-01  2.359588408470153809e+01  3.530000000000000000e+02
6.019617272472654879e-01  2.364051604270935059e+01  3.540000000000000000e+02
5.833058368816352868e-01  2.368246293067932129e+01  3.550000000000000000e+02
5.636567751640020330e-01  2.372891902923583984e+01  3.560000000000000000e+02
5.444863309059806422e-01  2.377541303634643555e+01  3.570000000000000000e+02
5.261755201873646870e-01  2.382597208023071289e+01  3.580000000000000000e+02
5.084124906044409364e-01  2.387260413169860840e+01  3.590000000000000000e+02
4.892617543419446324e-01  2.392035508155822754e+01  3.600000000000000000e+02
1.172440030538362432e+00  2.473779797554016113e+01  3.610000000000000000e+02
1.222794835791200185e+00  2.481975102424621582e+01  3.620000000000000000e+02
1.178860314924845776e+00  2.491230702400207520e+01  3.630000000000000000e+02
1.189558297103801898e+00  2.500767803192138672e+01  3.640000000000000000e+02
